作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,归属机构,带归属机构的作者,摘要,作者关键字,索引关键字,文献类型,出版阶段,开放获取,来源出版物,EID
"Kim J.-H., Jeong J.-W.","57205720618;57205722835;","Multi-view multi-modal head-gaze estimation for advanced indoor user interaction",2022,"Computers, Materials and Continua","70","3",,"5107","5132",,,"10.32604/cmc.2022.021107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117047706&doi=10.32604%2fcmc.2022.021107&partnerID=40&md5=304c891eee8c6e2f5b4d7f28298b5081","Department of Computer Engineering, Kumoh National Institute of Technology, Gumi, 39177, South Korea; Department of Data Science, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Kim, J.-H., Department of Computer Engineering, Kumoh National Institute of Technology, Gumi, 39177, South Korea; Jeong, J.-W., Department of Data Science, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Gaze estimation is one of the most promising technologies for supporting indoor monitoring and interaction systems. However, previous gaze estimation techniques generally work only in a controlled laboratory environment because they require a number of high-resolution eye images. This makes them unsuitable for welfare and healthcare facilities with the following challenging characteristics: 1) users’ continuous movements, 2) various lighting conditions, and 3) a limited amount of available data. To address these issues, we introduce a multi-view multi-modal head-gaze estimation system that translates the user’s head orientation into the gaze direction. The proposed system captures the user using multiple cameras with depth and infrared modalities to train more robust gaze estimators under the aforementioned conditions. To this end, we implemented a deep learning pipeline that can handle different types and combinations of data. The proposed system was evaluated using the data collected from 10 volunteer participants to analyze how the use of single/multiple cameras and modalities affect the performance of head-gaze estimators. Through various experiments, we found that 1) an infrared-modality provides more useful features than a depth-modality, 2) multi-view multi-modal approaches provide better accuracy than single-view single-modal approaches, and 3) the proposed estimators achieve a high inference efficiency that can be used in real-time applications. © 2022 Tech Science Press. All rights reserved.","Deep learning; Head-gaze estimation; Human-computer interaction; Indoor monitoring","Cameras; Deep learning; Modal analysis; Deep learning; Gaze estimation; Head-gaze estimation; Indoor monitoring; Interaction systems; Monitoring system; Multi-modal; Multi-views; Multiple cameras; User interaction; Human computer interaction",Article,"Final","",Scopus,2-s2.0-85117047706
"Cao Y., Ding Y., Proctor R.W., Duffy V.G., Liu Y., Zhang X.","55470381500;55788266100;7101687932;7007049892;57226614859;56550074800;","Detecting users’ usage intentions for websites employing deep learning on eye-tracking data",2021,"Information Technology and Management","22","4",,"281","292",,,"10.1007/s10799-021-00336-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113983156&doi=10.1007%2fs10799-021-00336-6&partnerID=40&md5=530c1c006092f6985e4e07e1860bff2d","School of Economics and Management, Anhui Polytechnic University, NO. 8 Beijing Middle Road, Jiujiang district, Wuhu, 241000, China; School of Industrial Engineering, Purdue University, West Lafayette, United States","Cao, Y., School of Economics and Management, Anhui Polytechnic University, NO. 8 Beijing Middle Road, Jiujiang district, Wuhu, 241000, China; Ding, Y., School of Economics and Management, Anhui Polytechnic University, NO. 8 Beijing Middle Road, Jiujiang district, Wuhu, 241000, China; Proctor, R.W., School of Industrial Engineering, Purdue University, West Lafayette, United States; Duffy, V.G., School of Industrial Engineering, Purdue University, West Lafayette, United States; Liu, Y., School of Economics and Management, Anhui Polytechnic University, NO. 8 Beijing Middle Road, Jiujiang district, Wuhu, 241000, China; Zhang, X., School of Economics and Management, Anhui Polytechnic University, NO. 8 Beijing Middle Road, Jiujiang district, Wuhu, 241000, China","We proposed a method employing deep learning (DL) on eye-tracking data and applied this method to detect intentions to use apparel websites that differed in factors of depth, breadth, and location of navigation. Results showed that users’ intentions could be predicted by combining a deep neural network algorithm and metrics recorded from an eye-tracker. Using all of the eye-tracking metric features attained the best accuracy when predicting usage/not-usage intention to websites. In addition, the results suggest that for apparel websites with the same depth, designers can increase usage intention by using a larger number of navigation items and placing the navigation at the top and left of the homepage. The results show that building intelligent usage intention-detection systems is possible for the range of websites we examined and is also computationally practical. Hence, the study motivates future investigations that focus on design of such systems. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Behavioral intention; Deep learning; Eye-tracking; Website",,Article,"Final","",Scopus,2-s2.0-85113983156
"Meier I.B., Buegler M., Harms R., Seixas A., Çöltekin A., Tarnanas I.","57221867410;57221865756;57193828961;56567942200;8598265600;6508357922;","Using a Digital Neuro Signature to measure longitudinal individual-level change in Alzheimer’s disease: the Altoida large cohort study",2021,"npj Digital Medicine","4","1","101","","",,,"10.1038/s41746-021-00470-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108845870&doi=10.1038%2fs41746-021-00470-z&partnerID=40&md5=45b67af521a1cc35e4fc33d952c15d1c","Chione GmbH, Binz, Switzerland; Altoida Inc., Houston, TX, United States; NYU Grossman School of Medicine, Department of Population Health, Department of Psychiatry, New York, NY, United States; University of Applied Sciences and Arts Northwestern Switzerland, Windisch, Switzerland; Global Brain Health Institute, San Francisco, CA, United States; Trinity College Dublin, College Green, Dublin, Ireland; Hellenic Initiative Against Alzheimer’s Disease, BiHeLab Ionian University, Kerkira, Greece","Meier, I.B., Chione GmbH, Binz, Switzerland; Buegler, M., Altoida Inc., Houston, TX, United States; Harms, R., Altoida Inc., Houston, TX, United States; Seixas, A., NYU Grossman School of Medicine, Department of Population Health, Department of Psychiatry, New York, NY, United States; Çöltekin, A., University of Applied Sciences and Arts Northwestern Switzerland, Windisch, Switzerland; Tarnanas, I., Altoida Inc., Houston, TX, United States, Global Brain Health Institute, San Francisco, CA, United States, Trinity College Dublin, College Green, Dublin, Ireland, Hellenic Initiative Against Alzheimer’s Disease, BiHeLab Ionian University, Kerkira, Greece","Conventional neuropsychological assessments for Alzheimer’s disease are burdensome and inaccurate at detecting mild cognitive impairment and predicting Alzheimer’s disease risk. Altoida’s Digital Neuro Signature (DNS), a longitudinal cognitive test consisting of two active digital biomarker metrics, alleviates these limitations. By comparison to conventional neuropsychological assessments, DNS results in faster evaluations (10 min vs 45–120 min), and generates higher test-retest in intraindividual assessment, as well as higher accuracy at detecting abnormal cognition. This study comparatively evaluates the performance of Altoida’s DNS and conventional neuropsychological assessments in intraindividual assessments of cognition and function by means of two semi-naturalistic observational experiments with 525 participants in laboratory and clinical settings. The results show that DNS is consistently more sensitive than conventional neuropsychological assessments at capturing longitudinal individual-level change, both with respect to intraindividual variability and dispersion (intraindividual variability across multiple tests), across three participant groups: healthy controls, mild cognitive impairment, and Alzheimer’s disease. Dispersion differences between DNS and conventional neuropsychological assessments were more pronounced with more advanced disease stages, and DNS-intraindividual variability was able to predict conversion from mild cognitive impairment to Alzheimer’s disease. These findings are instrumental for patient monitoring and management, remote clinical trial assessment, and timely interventions, and will hopefully contribute to a better understanding of Alzheimer’s disease. © 2021, The Author(s).",,"amyloid beta protein; apolipoprotein E; biological marker; tau protein; adult; aged; Altoida Digital Neuro Signature; Alzheimer disease; Article; attention; augmented reality; cerebrospinal fluid analysis; Clinical Dementia Rating; clinical outcome; cognition; cohort analysis; comparative effectiveness; controlled study; disease exacerbation; dispersion; eye tracking; female; healthy aging; human; intermethod comparison; machine learning; major clinical study; male; memory; mild cognitive impairment; motor performance; neuroimaging; neuropsychological test; nuclear magnetic resonance imaging; observational study; patient care; patient monitoring; processing speed; reaction time; velocity; very elderly; Wechsler memory scale",Article,"Final","",Scopus,2-s2.0-85108845870
"Zhuang J., Dong Y., Bai H.","57201854167;13104876700;37050495500;","Ensemble learning with siamese networks for visual tracking",2021,"Neurocomputing","464",,,"497","506",,,"10.1016/j.neucom.2021.08.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114630403&doi=10.1016%2fj.neucom.2021.08.025&partnerID=40&md5=d6d83f25dab538dd9f41e1acdb3e2888","Beijing University of Posts and Telecommunications, China; Beijing Faceall Technology Co.,Ltd, Beijing, China","Zhuang, J., Beijing University of Posts and Telecommunications, China; Dong, Y., Beijing University of Posts and Telecommunications, China; Bai, H., Beijing Faceall Technology Co.,Ltd, Beijing, China","Ensemble learning (EL) is an effective and commonly used technique to improve visual tasks’ accuracy, such as classification and detection. However, EL is rarely used in visual tracking. To fill this knowledge gap, we first have completed some research to investigate why knowledge distillation was ineffective in visual tracking tasks. Comparing the difference between the classification and visual tracking, conclusions are given: (i) Numerous simple negative examples are redundant, while only a few hard negative samples are valid for visual tracking knowledge distillation. (ii) The hint knowledge flows differently between classification and visual tracking. To solve the above problems, we design two new loss functions and integrate them into the proposed Ensemble Learning (EL) framework that can be employed in Siamese architectures such as SiamFC, SiamRPN, SiamFC+, and SiamRPN+. The EL treats two Siamese networks as students and enables them to learn collaboratively. A better solution is yielded by the EL framework than training students individually. Experiments on OTB-2013, OTB-2015, VOT2015, VOT2016, VOT2017, VOT2018, LaSOT and TrackingNet have verified the effectiveness of our proposed technique on boosting the performance for the four Siamese algorithms. The EL-SiamRPN+ achieves leading performance in the challenges. © 2021 Elsevier B.V.","Deep learning; Knowledge distillation; Siamese network; Visual tracking","Distillation; Vision; Deep learning; Ensemble learning; Knowledge distillation; Knowledge gaps; Learning frameworks; Performance; Siamese network; Simple++; Visual tasks; Visual Tracking; Deep learning; algorithm; article; case report; clinical article; deep learning; distillation; eye tracking; human; human experiment; loss of function mutation",Article,"Final","",Scopus,2-s2.0-85114630403
"Ploumpis S., Ververas E., Sullivan E.O., Moschoglou S., Wang H., Pears N., Smith W.A.P., Gecer B., Zafeiriou S.","56648048200;57200120997;57219441614;57193191974;57210362342;6602738213;8855793100;57192671195;8883680000;","Towards a Complete 3D Morphable Model of the Human Head",2021,"IEEE Transactions on Pattern Analysis and Machine Intelligence","43","11",,"4142","4160",,6,"10.1109/TPAMI.2020.2991150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116514929&doi=10.1109%2fTPAMI.2020.2991150&partnerID=40&md5=6b299cf4805aedfc023c6d00abfadee2","Department of Computing, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom; Department of Computer Science, University of York, York, YO10 5DD, United Kingdom","Ploumpis, S., Department of Computing, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom; Ververas, E., Department of Computing, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom; Sullivan, E.O., Department of Computing, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom; Moschoglou, S., Department of Computing, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom; Wang, H., Department of Computing, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom; Pears, N., Department of Computing, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom, Department of Computer Science, University of York, York, YO10 5DD, United Kingdom; Smith, W.A.P., Department of Computing, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom, Department of Computer Science, University of York, York, YO10 5DD, United Kingdom; Gecer, B., Department of Computing, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom; Zafeiriou, S., Department of Computing, Imperial College London, South Kensington Campus, London, SW7 2AZ, United Kingdom","Three-dimensional morphable models (3DMMs) are powerful statistical tools for representing the 3D shapes and textures of an object class. Here we present the most complete 3DMM of the human head to date that includes face, cranium, ears, eyes, teeth and tongue. To achieve this, we propose two methods for combining existing 3DMMs of different overlapping head parts: (i). use a regressor to complete missing parts of one model using the other, and (ii). use the Gaussian Process framework to blend covariance matrices from multiple models. Thus, we build a new combined face-and-head shape model that blends the variability and facial detail of an existing face model (the LSFM) with the full head modelling capability of an existing head model (the LYHM). Then we construct and fuse a highly-detailed ear model to extend the variation of the ear shape. Eye and eye region models are incorporated into the head model, along with basic models of the teeth, tongue and inner mouth cavity. The new model achieves state-of-the-art performance. We use our model to reconstruct full head representations from single, unconstrained images allowing us to parameterize craniofacial shape and texture, along with the ear shape, eye gaze and eye color. © 1979-2012 IEEE.","3D reconstruction; 3DMM; craniofacial 3DMM; morphable model combination","3D modeling; Image reconstruction; Statistical mechanics; Textures; Three dimensional computer graphics; 3D reconstruction; 3DMM; Craniofacial; Craniofacial 3DMM; Head model; Human head; Model combination; Morphable model; Morphable model combination; Shape and textures; Covariance matrix",Article,"Final","",Scopus,2-s2.0-85116514929
"Cho D.-Y., Kang M.-K.","57200616887;55453176100;","Human gaze-aware attentive object detection for ambient intelligence",2021,"Engineering Applications of Artificial Intelligence","106",,"104471","","",,,"10.1016/j.engappai.2021.104471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116125642&doi=10.1016%2fj.engappai.2021.104471&partnerID=40&md5=3ea3c0aa35286fa3f69c99076ca9e8ed","Korea Institute of Science and Technology (KIST), Seongbuk-gu, Seoul, 02792, South Korea","Cho, D.-Y., Korea Institute of Science and Technology (KIST), Seongbuk-gu, Seoul, 02792, South Korea; Kang, M.-K., Korea Institute of Science and Technology (KIST), Seongbuk-gu, Seoul, 02792, South Korea","Understanding human behavior and the surrounding environment is essential for realizing ambient intelligence (AmI), for which eye gaze and object information are reliable cues. In this study, the authors propose a novel human gaze-aware attentive object detection framework as an elemental technology for AmI. The proposed framework detects users’ attentive objects and shows more precise and robust performance against object-scale variations. A novel Adaptive-3D-Region-of-Interest (Ada-3D-RoI) scheme is designed as a front-end module, and scalable detection network structures are proposed to maximize cost-efficiency. The experiments show that the detection rate is improved up to 97.6% on small objects (14.1% on average), and it is selectively tunable with a tradeoff between accuracy and computational complexity. In addition, the qualitative results demonstrate that the proposed framework detects a user's single object-of-interest only, even when the target object is occluded or extremely small. Complementary matters for follow-up study are presented as suggestions to extend the results of the proposed framework to further practical AmI applications. This study will help develop advanced AmI applications that demand a higher-level understanding of scene context and human behavior such as human–robot symbiosis, remote-/autonomous control, and augmented/mixed reality. © 2021 The Author(s)","Affective ambient intelligence; Augmented and mixed reality; Human–computer interaction; Object recognition","Ambient intelligence; Artificial intelligence; Behavioral research; Image segmentation; Mixed reality; Object detection; Object recognition; Affective ambient intelligence; Eye-gaze; Human behaviors; Mixed reality; Object information; Objects recognition; Region-of-interest; Regions of interest; Robust performance; Surrounding environment; Human computer interaction",Article,"Final","",Scopus,2-s2.0-85116125642
"Ansari M.F., Kasprowski P., Obetkal M.","57221608762;8940684200;57279844500;","Gaze tracking using an unmodified web camera and convolutional neural network",2021,"Applied Sciences (Switzerland)","11","19","9068","","",,,"10.3390/app11199068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116006986&doi=10.3390%2fapp11199068&partnerID=40&md5=18fcbeeec0e7eebe010141c9d3cc9c29","Department of Applied Informatics, Silesian University of Technology, Gliwice, 44-100, Poland","Ansari, M.F., Department of Applied Informatics, Silesian University of Technology, Gliwice, 44-100, Poland; Kasprowski, P., Department of Applied Informatics, Silesian University of Technology, Gliwice, 44-100, Poland; Obetkal, M., Department of Applied Informatics, Silesian University of Technology, Gliwice, 44-100, Poland","Gaze estimation plays a significant role in understating human behavior and in human– computer interaction. Currently, there are many methods accessible for gaze estimation. However, most approaches need additional hardware for data acquisition which adds an extra cost to gaze tracking. The classic gaze tracking approaches usually require systematic prior knowledge or expertise for practical operations. Moreover, they are fundamentally based on the characteristics of the eye region, utilizing infrared light and iris glint to track the gaze point. It requires high-quality images with particular environmental conditions and another light source. Recent studies on appearance-based gaze estimation have demonstrated the capability of neural networks, especially convolutional neural networks (CNN), to decode gaze information present in eye images and achieved significantly simplified gaze estimation. In this paper, a gaze estimation method that utilizes a CNN for gaze estimation that can be applied to various platforms without additional hardware is presented. An easy and fast data collection method is used for collecting face and eyes images from an unmodified desktop camera. The proposed method registered good results; it proves that it is possible to predict the gaze with reasonable accuracy without any additional tools. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Convolutional neural network; Gaze tracking; Human computer interaction",,Article,"Final","",Scopus,2-s2.0-85116006986
"Hsiao S.-W., Peng P.-H., Tsao Y.-C.","9841389000;57226784204;57195065642;","A method for the analysis of the interaction between users and objects in 3D navigational space",2021,"Advanced Engineering Informatics","50",,"101364","","",,,"10.1016/j.aei.2021.101364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112602928&doi=10.1016%2fj.aei.2021.101364&partnerID=40&md5=48f19e940dab022f9954a9d5d64cdc90","Department of Industrial Design, National Cheng Kung University, Tainan, 70101, Taiwan","Hsiao, S.-W., Department of Industrial Design, National Cheng Kung University, Tainan, 70101, Taiwan; Peng, P.-H., Department of Industrial Design, National Cheng Kung University, Tainan, 70101, Taiwan; Tsao, Y.-C., Department of Industrial Design, National Cheng Kung University, Tainan, 70101, Taiwan","Along with the improvement of eye-tracking technology, more and more distinct field of researches have introduced movements of the eye in relation to the head to understand user behavior. Most of current researches focus on the perception process of single 2-dimensional images by fixed eye-tracking devices or the head-mount devices. A method of applying eye-tracking on the analysis of the interaction between users and objects in 3D navigational space is proposed in this article. It aims to understand the visual stimulation of 3D objects and the user's spatial navigational reactions while receiving the stimulation, and proposes the concept of 3D object attention heat map. It also proposes to construct a computational visual attention model for different geometric featured 3D objects by applying the method of feature curves. The VR results of this study also provide future assistance in the incoming immersive world. This study sets to promote eye-tracking from the mainstream of 2D field to 3D spaces and points to a deeper understanding between human and artificial product or natural objects. It would also serve an important role in the field of human-computer interaction, product usability, aids devices for cognition degenerative individuals, and even the field of visual recognition of daily human behavior. © 2021 Elsevier Ltd","3D Interactive Cognition; Eye-Tracking; Human-Computer Interaction (HCI); Visual attention","Behavioral research; Eye movements; Eye tracking; Human computer interaction; Navigation; Eye tracking devices; Eye tracking technologies; Human behaviors; Natural objects; Product usability; Visual attention model; Visual recognition; Visual stimulation; Object tracking",Article,"Final","",Scopus,2-s2.0-85112602928
"Wu Q., Dey N., Shi F., Crespo R.G., Sherratt R.S.","57212567709;55356190900;23398821000;57221209077;7004090619;","Emotion classification on eye-tracking and electroencephalograph fused signals employing deep gradient neural networks",2021,"Applied Soft Computing","110",,"107752","","",,,"10.1016/j.asoc.2021.107752","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111540398&doi=10.1016%2fj.asoc.2021.107752&partnerID=40&md5=f559f12fc47768259c841ac31e4325dc","Institute of Universal Design, Zhejiang Sci-Tech University, Hangzhou, China; Department of Computer Science and Engineering, JIS University, Kolkata, 700109, India; Rutgers Cancer Institute of New Jersey, New Brunswick, NJ  08903, United States; Department of Computer Science and Technology, Universidad Internacional de La Rioja, Logroño, Spain; Department of Biomedical Engineering, the University of ReadingUK  RG6 6AY, United Kingdom","Wu, Q., Institute of Universal Design, Zhejiang Sci-Tech University, Hangzhou, China; Dey, N., Department of Computer Science and Engineering, JIS University, Kolkata, 700109, India; Shi, F., Rutgers Cancer Institute of New Jersey, New Brunswick, NJ  08903, United States; Crespo, R.G., Department of Computer Science and Technology, Universidad Internacional de La Rioja, Logroño, Spain; Sherratt, R.S., Department of Biomedical Engineering, the University of ReadingUK  RG6 6AY, United Kingdom","Emotion produces complex neural processes and physiological changes under appropriate event stimulation. Physiological signals have the advantage of better reflecting a person's actual emotional state than facial expressions or voice signals. An electroencephalogram (EEG) is a signal obtained by collecting, amplifying, and recording the human brain's weak bioelectric signals on the scalp. The eye-tracking (E.T.) signal records the potential difference between the retina and the cornea and the potential generated by the eye movement muscle. Furthermore, the different modalities of physiological signals will contain various information representations of human emotions. Finding this different modal information is of great help to get higher recognition accuracy. The E.T. and EEG signals are synchronized and fused in this research, and an effective deep learning (DL) method was used to combine different modalities. This article proposes a technique based on a fusion model of the Gaussian mixed model (GMM) with the Butterworth and Chebyshev signal filter. Features extraction on EEG and E.T. are subsequently calculated. Secondly, the self-similarity (SSIM), energy (E), complexity (C), high order crossing (HOC), and power spectral density (PSD) for EGG, and electrooculography power density estimation ((EOG-PDE), center gravity frequency (CGF), frequency variance (F.V.), root mean square frequency (RMSF) for E.T. are selected hereafter; the max–min method is applied for vector normalization. Finally, a deep gradient neural network (DGNN) for EEG and E.T. multimodal signal classification is proposed. The proposed neural network predicted the emotions under the eight emotions event stimuli experiment with 88.10% accuracy. For the evaluation indices of accuracy (Ac), precision (Pr), recall (Re), F-measurement (Fm), precision–recall (P.R.) curve, true-positive rate (TPR) of receiver operating characteristic curve (ROC), the area under the curve (AUC), true-accept rate (TAR), and interaction on union (IoU), the proposed method also performs with high efficiency compared with several typical neural networks including the artificial neural network (ANN), SqueezeNet, GoogleNet, ResNet-50, DarkNet-53, ResNet-18, Inception-ResNet, Inception-v3, and ResNet-101. © 2021 Elsevier B.V.","Electroencephalogram; Emotion stimuli; Eye-tracking; Fused deep neural network; Gaussian mixed model; Signal process","Bioelectric phenomena; Butterworth filters; Chebyshev filters; Complex networks; Deep learning; Deep neural networks; Electroencephalography; Eye movements; Eye tracking; Frequency estimation; Neural networks; Spectral density; Electro-encephalogram (EEG); Emotion classification; Highorder crossing (HOC); Information representation; Physiological signals; Power spectral densities (PSD); Receiver operating characteristic curves; Signal classification; Biomedical signal processing",Article,"Final","",Scopus,2-s2.0-85111540398
"Oishi S., Koide K., Yokozuka M., Banno A.","54793314500;57191584619;36027020900;55952407700;","4D Attention: Comprehensive Framework for Spatio-Temporal Gaze Mapping",2021,"IEEE Robotics and Automation Letters","6","4","9484834","7240","7247",,,"10.1109/LRA.2021.3097274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110844998&doi=10.1109%2fLRA.2021.3097274&partnerID=40&md5=8bb13047997dab2b2dbe26f166297bf9","Mobile Robotics Research Team (MR2T), National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, 3058568, Japan","Oishi, S., Mobile Robotics Research Team (MR2T), National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, 3058568, Japan; Koide, K., Mobile Robotics Research Team (MR2T), National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, 3058568, Japan; Yokozuka, M., Mobile Robotics Research Team (MR2T), National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, 3058568, Japan; Banno, A., Mobile Robotics Research Team (MR2T), National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, 3058568, Japan","This study presents a framework for capturing human attention in the spatio-temporal domain using eye-tracking glasses. Attention mapping is a key technology for human perceptual activity analysis or Human-Robot Interaction (HRI) to support human visual cognition; however, measuring human attention in dynamic environments is challenging owing to the difficulty in localizing the subject and dealing with moving objects. To address this, we present a comprehensive framework, 4D Attention, for unified gaze mapping onto static and dynamic objects. Specifically, we estimate the glasses pose by leveraging a loose coupling of direct visual localization and Inertial Measurement Unit (IMU) values. Further, by installing reconstruction components into our framework, dynamic objects not captured in the 3D environment map are instantiated based on the input images. Finally, a scene rendering component synthesizes a first-person view with identification (ID) textures and performs direct 2D-3D gaze association. Quantitative evaluations showed the effectiveness of our framework. Additionally, we demonstrated the applications of 4D Attention through experiments in real situations.1 © 2016 IEEE.","intention recognition; Localization; multi-modal perception for HRI; visual tracking","Agricultural robots; Eye tracking; Glass; Mapping; Textures; 3-D environments; Activity analysis; Dynamic environments; Human robot Interaction (HRI); Inertial measurement unit; Quantitative evaluation; Spatio-temporal domains; Visual localization; Human robot interaction",Article,"Final","",Scopus,2-s2.0-85110844998
