"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Progressive Review - Emerging Technologies for ADAS Driven Solutions","J. Nidamanuri; C. Nibhanupudi; R. Assfalg; H. Venkataraman","CSE, Indian Institute of Information Technology Sri City, 565937 TADA, Andhra Pradesh, India, (e-mail: jaswanth.n@iiits.in); ECE, Indian Institute of Information Technology Sri City, 565937 Sri City, Andhra Pradesh, India, (e-mail: chinmayi.n13@iiits.in); Informatics, DHBW Heidenheim, 163326 Heidenheim, Baden-Wrttemberg, Germany, (e-mail: assfalg@dhbw-heidenheim.de); ECE, Indian Institute of Information Technology Sri City, 565937 TADA, Andhra Pradesh, India, (e-mail: hvraman@iiits.in)","IEEE Transactions on Intelligent Vehicles","","2021","PP","99","1","1","Over the last decade, the Advanced Driver Assistance System (ADAS) concept has evolved significantly. ADAS involves several technologies such as automotive electronics, vehicle-to-vehicle (V2V) vehicle-to-infrastructure (V2I) communication, RADAR, LIDAR, computer vision, and machine learning. Of these, computer vision and machine learning-based solutions have mainly been effective that have allowed real-time vehicle control, driver aided systems, etc. However, most of the existing works deal with the deployment of ADAS and autonomous driving functionality in countries with well-disciplined lane traffic. Nevertheless, these solutions and frameworks do not work in countries and cities with less-disciplined/chaotic traffic. This paper identifies the research gaps, reviews the state-of-the-art looking at the different functionalities of ADAS and its levels of autonomy. Importantly, it provides a detailed description of vision intelligence and computational intelligence for ADAS. In visual intelligence, the estimate of eye gaze and head position is detailed. Notably, the learning algorithms such as supervised, unsupervised, reinforcement learning and deep learning solutions for ADAS are considered and discussed. Significantly, this would enable developing a real-time recommendation system for system-assisted/autonomous vehicular environments with less-disciplined road traffic.","2379-8904","","10.1109/TIV.2021.3122898","Department of Science and Technology Government of India(grant numbers:DST/ECR/2016/001287); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9591277","Autonomous Driving;Computer Vision;Machine Learning;Recommender Engine;Smart Transportation","Sensors;Roads;Vehicles;Cameras;Laser radar;Safety;Radar","","","","","","","IEEE","27 Oct 2021","","","IEEE","IEEE Early Access Articles"
"Deep Learning based Eye gaze estimation and prediction","P. L. Mazzeo; D. D'Amico; P. Spagnolo; C. Distante","Institute of Science Application and Intelligent Systems - CNR, C/O DHITECH Campus Universitario,Lecce,ITALY,73100; Università del Salento,Lecce,ITALY,73100; Institute of Science Application and Intelligent Systems - CNR, C/O DHITECH Campus Universitario,Lecce,ITALY,73100; Institute of Science Application and Intelligent Systems - CNR, C/O DHITECH Campus Universitario,Lecce,ITALY,73100","2021 6th International Conference on Smart and Sustainable Technologies (SpliTech)","21 Oct 2021","2021","","","1","6","Eye gaze understanding plays a crucial role in human social interactions. The gaze has emerged as a powerful tool for many applications including health assessment, disease diagnosis, human behavior, communication analysis. Eye gaze estimation and prediction has become a very hot topic in the field of computer vision during the last decades, with a surprising and continuously growing number of application fields. In the last decade deep neural networks have revolutionized the whole machine learning area, and gaze tracking. Appearance-based models use deep convolutional networks (CNNs) to directly estimate the direction of gaze in the camera's frame of reference. This paper focuses on analyzing and investigating different CNN architectures for gaze estimation and prediction. Two tasks have been developed in this work: the gaze estimation and the gaze prediction based on previously estimated gaze-points. In the first task, several CNNs were used for finding the most accurate gaze estimation. In the second task, we predict gaze locations basing on the previously estimated gaze vectors while leveraging spatio-temporal information encoded in a previously recorded eye-images sequences. We used a Long Short Term Memory (LSTM) and Transformers based on self-attention approach and use of positional encoding, in order to predict next gaze locations. Different architectures has been trained on the OPENEDS2020 public dataset which has been revisited in order to improve overall performance. We, also, propose a novel architecture composed by ResNext50 and two fully connected layer. We demonstrate that proposed architectures obtain results that in terms of angular error outperforms the state of art.","","978-953-290-112-2","10.23919/SpliTech52315.2021.9566413","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9566413","","Deep learning;Microprocessors;Estimation;Computer architecture;Tools;Transformers;Medical diagnosis","","","","","","51","","21 Oct 2021","","","IEEE","IEEE Conferences"
"Pupil-Contour-Based Gaze Estimation with Real Pupil Axes for Head-Mounted Eye Tracking","Z. Wan; C. -H. Xiong; W. Chen; H. Zhang; S. Wu","School of Information Science and Engineering, Wuhan University of Science and Technology, 47900 Wuhan, Hubei, China, 430081 (e-mail: zhwan@hust.edu.cn); School of Mechanical Science and Engineering, Huazhong University of Science and Technology, 12443 Wuhan, Hubei, China, 430074 (e-mail: chxiong@hust.edu.cn); School of Mechanical Science and Engineering, Huazhong University of Science and Technology, 12443 Wuhan, Hubei, China, 430074 (e-mail: wbchen@hust.edu.cn); Wuhan University of Science and Technology, 47900 Wuhan, Hubei, China, 430081 (e-mail: hyzhang@wust.edu.cn); School of Information Science and Engineering, Wuhan University of Science and Technology, 47900 Wuhan, Hubei, China, 430081 (e-mail: shiqian.wu@wust.edu.cn)","IEEE Transactions on Industrial Informatics","","2021","PP","99","1","1","Accurate gaze estimation that frees from glints and the slippage problem is challenging. Pupil-contour-based gaze estimation methods can meet this challenge, except that the gaze accuracy is low due to neglecting the pupil's corneal refrac-tion. This paper proposes a refraction-aware gaze estimation approach using the real pupil axis, which is calculated from the virtual pupil image based on the derived function between the real pupil and the refracted virtual pupil. We present a 2D gaze estimation method that regresses the real pupil normal's spherical coordinates to the gaze point. The noise and outliers of calibration data are removed by aggregation filtering and Random Sample Consensus, respectively. Moreover, we propose a 3D gaze estimation method that transforms the real pupil axis to the gaze direction. Experimental results show that the proposed gaze estimation approach has comparable accuracy to state-of-the-art pupil-center-based gaze estimation methods, which suffer from the slippage problem.","1941-0050","","10.1109/TII.2021.3118022","National Key RD Program(grant numbers:2018YFB1307201); Hubei Key Technical Innovation Project(grant numbers:ZDCX2019000025); National Natural Science Foundation of China(grant numbers:52027806,52075191,61775172,U1913205,U1913601); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9560022","Eye tracking;gaze estimation;corneal refraction;pupil contour;slippage;glint-free","Pupils;Estimation;Cameras;Optical refraction;Optical imaging;Cornea;Iris","","","","","","","IEEE","6 Oct 2021","","","IEEE","IEEE Early Access Articles"
"Head-free, Human Gaze-driven Assistive Robotic System for Reaching and Grasping","B. Yang; J. Huang; M. Sun; J. Huo; X. Li; C. Xiong","Huazhong University of Science and Technology,The Key Laboratory of Image Processing and Intelligent Control, School of Artificial Intelligence and Automation,Wuhan,China,430074; Huazhong University of Science and Technology,The Key Laboratory of Image Processing and Intelligent Control, School of Artificial Intelligence and Automation,Wuhan,China,430074; Huazhong University of Science and Technology,The Key Laboratory of Image Processing and Intelligent Control, School of Artificial Intelligence and Automation,Wuhan,China,430074; Huazhong University of Science and Technology,The Key Laboratory of Image Processing and Intelligent Control, School of Artificial Intelligence and Automation,Wuhan,China,430074; Huazhong University of Science and Technology,The Key Laboratory of Image Processing and Intelligent Control, School of Artificial Intelligence and Automation,Wuhan,China,430074; Huazhong University of Science and Technology,School of Mechanical Science and Engineering and the State Key Laboratory of Digital Manufacturing Equipment and Technology,Wuhan,China,430074","2021 40th Chinese Control Conference (CCC)","6 Oct 2021","2021","","","4138","4143","Patients with limb dysfunction have limited mobility, which prevents them from performing daily activities. We have developed an assistive robot system with an intuitive head free gaze interface. The system consists of multiple modules, including 3D gaze estimation, head free coordinate transformation, intention recognition, and robot trajectory planning. The robotic assistive system obtains clues from the user’s gaze to decode their intentions and implement actions. This allows the user only needs to look at the objects to make the robot system reach, grasp, and bring them to the user. The 3D gaze estimation is evaluated with 5 subjects, showing an overall accuracy of 5.53±1.2 cm. The integrated system’s experimental results show that the success rate is 96% in the implementation of automatic trajectory planning, and the success rate is 92% in the implementation of fixation-based trajectory planning. Finally, the results and work required to improve the system are discussed.","1934-1768","978-9-8815-6380-4","10.23919/CCC52363.2021.9549800","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9549800","3D gaze estimation;Intention estimation;Gaze-based control;Assistive robot","Three-dimensional displays;Trajectory planning;Robot kinematics;Estimation;Grasping;Rehabilitation robotics","","","","","","14","","6 Oct 2021","","","IEEE","IEEE Conferences"
"Tufts Dental Database: A Multimodal Panoramic X-ray Dataset for Benchmarking Diagnostic Systems","K. Panetta; R. Rajendran; A. Ramesh; S. P. Rao; S. Agaian","Department of Electrical and Computer Engineering, Tufts University, Medford, MA.; Department of Electrical and Computer Engineering, Tufts University, Medford, MA.; School of Dental Medicine, Tufts University, Boston, MA. E-mail: Aruna.Ramesh@tufts.edu; Department of Electrical and Computer Engineering, Tufts University, Medford, MA.; Computer Science, City University of New York, 2009 New York, New York, United States, (e-mail: sos.agaian@csi.cuny.edu)","IEEE Journal of Biomedical and Health Informatics","","2021","PP","99","1","1","The application of Artificial Intelligence in dental healthcare has a very promising role due to the abundance of imagery and non-imagery-based clinical data. Expert analysis of dental radiographs can provide crucial information for clinical diagnosis and treatment. In recent years, Convolutional Neural Networks have achieved the highest accuracy in various benchmarks, including analyzing dental X-ray images to improve clinical care quality. The Tufts Dental Database, a new X-ray panoramic radiography image dataset, has been presented in this paper. This dataset consists of 1000 panoramic dental radiography images with expert labeling of abnormalities and teeth. The classification of radiography images was performed based on five different levels: anatomical location, peripheral characteristics, radiodensity, effects on the surrounding structure, and the abnormality category. This first-of-its-kind multimodal dataset also includes the radiologist's expertise captured in the form of eye-tracking and think-aloud protocol. The contributions of this work are 1) publicly available dataset that can help researchers to incorporate human expertise into AI and achieve more robust and accurate abnormality detection; 2) a benchmark performance analysis for various state-of-the-art systems for dental radiograph image enhancement and image segmentation using deep learning; 3) an in-depth review of various panoramic dental image datasets, along with segmentation and detection systems. The release of this dataset aims to propel the development of AI-powered automated abnormality detection and classification in dental panoramic radiographs, enhance tooth segmentation algorithms, and the ability to distill the radiologist's expertise into AI.","2168-2208","","10.1109/JBHI.2021.3117575","National Institute of Justice Graduate Research Fellowship in Science Technology Engineering and Mathematics FY 2019(grant numbers:2019-R2-CX-0036); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9557804","The tufts dental database;dental panoramic radiographs;eye-tracking;expert capturing system;gaze plots;image enhancement;tooth classification;tooth segmentation","Dentistry;Teeth;X-ray imaging;Image segmentation;Artificial intelligence;Feature extraction;Diagnostic radiography","","","","","","","CCBY","4 Oct 2021","","","IEEE","IEEE Early Access Articles"
"Real Time Eye Monitoring System Using CNN for Drowsiness and Attentiveness System","R. Pai; A. Dubey; N. Mangaonkar","Sardar Patel Institute of technology (SPIT),Master of Computer Applications,Mumbai,400047; Sardar Patel Institute of technology (SPIT),Master of Computer Applications,Mumbai,400047; Sardar Patel Institute of technology (SPIT),Mumbai,400047","2021 Asian Conference on Innovation in Technology (ASIANCON)","4 Oct 2021","2021","","","1","4","As computer science is evolving it can be used for a wide variety of things, for the scope of our research we look to track eye movements for the drowsiness and attentive detection of a person. The movements of eyes or feeling drowsiness can have many adverse effects on an individual, and even can lead to catastrophic situations. Eye Monitoring System for Drowsiness and Attentiveness Detection is developed for monitoring the drowsiness and attentiveness of any individual. A lot of drivers suffer from drowsiness while driving the cars, trucks and auto rickshaws. The reason for drowsiness can differ from person to person but feeling drowsy while driving can lead to various safety issues for the driver and other people on the road. A driver feels drowsiness during driving due to lack of sleep, tiredness and due to long travel driving. Drowsiness can also be felt by students in online classes and students tend not to be interested in online classes as there is no faculty keeping an eye on them since they are not in the classrooms physically. As covid-19 impacted education institutions the only way to fill the gap between the students and faculty is online classes, hence online classes are the only solution left. Not only in India but throughout the world online classes are used. A system for checking the attentiveness of students is an active area of research. Our aim is proposing a solution to detect the drowsiness of the driver while he is driving and inattentiveness of students in online class. The main purpose of this research paper is to detect drowsiness and attentiveness using different algorithms and techniques and use the one with best accuracy in our system. The techniques used are Euclidean and CNN. The paper also provides a comparison between these techniques.","","978-1-7281-8402-9","10.1109/ASIANCON51346.2021.9544624","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9544624","Drowsiness Detection;Deep Learning;Euclidean Distance;Neural Network;Face Detection","Technological innovation;Sleep;Tracking;Roads;Gaze tracking;Fatigue;Real-time systems","","","","","","11","","4 Oct 2021","","","IEEE","IEEE Conferences"
"Predicting Secondary Task Performance: A Directly Actionable Metric for Cognitive Overload Detection","P. V. Amadori; T. Fischer; R. Wang; Y. Demiris","Personal Robotics Lab, Department of Electrical and Electronic Engineering, Imperial College London, SW7 2BT, U.K. (e-mail: pierluigi.amadori@gmail.com); Personal Robotics Lab, Department of Electrical and Electronic Engineering, Imperial College London, SW7 2BT, U.K.; Personal Robotics Lab, Department of Electrical and Electronic Engineering, Imperial College London, SW7 2BT, U.K.; Personal Robotics Lab, Department of Electrical and Electronic Engineering, Imperial College London, SW7 2BT, U.K.","IEEE Transactions on Cognitive and Developmental Systems","","2021","PP","99","1","1","In this paper, we address cognitive overload detection from unobtrusive physiological signals for users in dual-tasking scenarios. Anticipating cognitive overload is a pivotal challenge in interactive cognitive systems and could lead to safer shared-control between users and assistance systems. Our framework builds on the assumption that decision mistakes on the cognitive secondary task of dual-tasking users correspond to cognitive overload events, wherein the cognitive resources required to perform the task exceed the ones available to the users. We propose DecNet, an end-to-end sequence-to-sequence deep learning model that infers in real-time the likelihood of user mistakes on the secondary task, i.e., the practical impact of cognitive overload, from eye-gaze and head-pose data. We train and test DecNet on a dataset collected in a simulated driving setup from a cohort of 20 users on two dual-tasking decision-making scenarios, with either visual or auditory decision stimuli. DecNet anticipates cognitive overload events in both scenarios and can perform in time-constrained scenarios, anticipating cognitive overload events up to 2s before they occur. We show that DecNet’s performance gap between audio and visual scenarios is consistent with user perceived difficulty. This suggests that single modality stimulation induces higher cognitive load on users, hindering their decision-making abilities.","2379-8939","","10.1109/TCDS.2021.3114162","Defence Science and Technology Laboratory(grant numbers:EP/P008461/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9542977","Cognitive Workload;User Monitoring;Decision Anticipation;Simulated Driving.","Task analysis;Vehicles;Load modeling;Solid modeling;Visualization;Feature extraction;Data models","","","","","","","Crown","21 Sep 2021","","","IEEE","IEEE Early Access Articles"
"GazeFlow: Gaze Redirection with Normalizing Flows","Y. Wu; H. Liang; X. Hou; L. Shen","Shenzhen University,Computer Vision Institute, College of Computer Science and Software Engineering; Shenzhen University,Computer Vision Institute, College of Computer Science and Software Engineering; Shenzhen University,Computer Vision Institute, College of Computer Science and Software Engineering; Shenzhen University,Computer Vision Institute, College of Computer Science and Software Engineering","2021 International Joint Conference on Neural Networks (IJCNN)","21 Sep 2021","2021","","","1","8","Gaze estimation often requires a large scale datasets with well annotated gaze information to train the estimator. However, such a dataset requires costive annotation and is usually very difficult to collect. Therefore, a number of gaze redirection approaches have been proposed to address such a problem. However, existing methods lack the ability to precisely synthesize images with target gaze and head pose in complex lighting scenes. As a powerful technique to model the distribution of given data, normalizing flows have the ability to generate photo-realistic images and provide flexible latent space manipulation. In this work, we present a novel flow-based generative model, GazeFlow<sup>1</sup><sup>1</sup>The code will be made available at https://github.com/CVI-SZU/GazeFlow, for gaze redirection. The visual results of gaze redirection show that the quality of eye images synthesized by GazeFlow is significantly higher than that of other approaches like Deep Warp and PRGAN. Our approach has also been applied to augment the training data to improve the accuracy of gaze estimators and significant improvement has been achieved for both within dataset and cross dataset experiments.","2161-4407","978-1-6654-3900-8","10.1109/IJCNN52387.2021.9533913","National Natural Science Foundation of China(grant numbers:91959108,U1713214); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9533913","","Visualization;Head;Codes;Annotations;Neural networks;Training data;Lighting","","","","","","41","","21 Sep 2021","","","IEEE","IEEE Conferences"
"Using deep learning to increase accuracy of gaze controlled prosthetic arm","T. Kocejko","Gdansk University of Technology,Department of Biomedical Engineering,Gdansk,Poland","2021 14th International Conference on Human System Interaction (HSI)","17 Sep 2021","2021","","","1","5","This paper presents how neural networks can be utilized to improve the accuracy of reach and grab functionality of hybrid prosthetic arm with eye tracing interface. The LSTM based Autoencoder was introduced to overcome the problem of lack of accuracy of the gaze tracking modality in this hybrid interface. The gaze based interaction strongly depends on the eye tracking hardware. In this paper it was presented how the overall the accuracy can be slightly improved by software solution. The cloud of points related to possible final positions of the arm was created to train Autoencoder. The trained model was next used to improve the position provided by the eye tracker. Using the LSTM based Autoencoder resulted in nearly 3% improvement of the overall accuracy.","2158-2254","978-1-6654-4112-4","10.1109/HSI52170.2021.9538710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9538710","gaze tracking;prosthetic arm;deep filter;HCI;human computer interaction","Deep learning;Neural networks;Gaze tracking;Software;Hardware;Prosthetics","","","","","","15","","17 Sep 2021","","","IEEE","IEEE Conferences"
"Appearance-based Gaze Estimation using Attention and Difference Mechanism","M. L R D; P. Biswas","I3D Lab, CPDM, Indian Institute of Science,Bangalore; I3D Lab, CPDM, Indian Institute of Science,Bangalore","2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)","1 Sep 2021","2021","","","3137","3146","Appearance-based gaze estimation problem received wide attention over the past few years. Even though model-based approaches existed earlier, availability of large datasets and novel deep learning techniques made appearance-based methods achieve superior accuracy than model-based approaches. In this paper, we proposed two novel techniques to improve gaze estimation accuracy. Our first approach, I2D-Net uses a difference layer to eliminate any common features from left and right eyes of a participant that are not pertinent to gaze estimation task. Our second approach, AGE-Net adapted the idea of attention-mechanism and assigns weights to the features extracted from eye images. I2D-Net performed on par with the existing state-of-the-art approaches while AGE-Net reported state-of-the-art accuracy of 4.09<sup>◦</sup> and 7.44<sup>◦</sup> error on MPI-IGaze and RT-Gene datasets respectively. We performed ablation studies to understand the effectiveness of the proposed approaches followed by analysis of gaze error distribution with respect to various factors of MPIIGaze dataset.","2160-7516","978-1-6654-4899-4","10.1109/CVPRW53098.2021.00351","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9523145","","Deep learning;Computer vision;Adaptation models;Conferences;Estimation;Lighting;Feature extraction","","","","","","42","","1 Sep 2021","","","IEEE","IEEE Conferences"
