作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,归属机构,带归属机构的作者,摘要,作者关键字,索引关键字,文献类型,出版阶段,开放获取,来源出版物,EID
"Kim J.-H., Jeong J.-W.","57205720618;57205722835;","Multi-view multi-modal head-gaze estimation for advanced indoor user interaction",2022,"Computers, Materials and Continua","70","3",,"5107","5132",,,"10.32604/cmc.2022.021107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117047706&doi=10.32604%2fcmc.2022.021107&partnerID=40&md5=304c891eee8c6e2f5b4d7f28298b5081","Department of Computer Engineering, Kumoh National Institute of Technology, Gumi, 39177, South Korea; Department of Data Science, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Kim, J.-H., Department of Computer Engineering, Kumoh National Institute of Technology, Gumi, 39177, South Korea; Jeong, J.-W., Department of Data Science, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Gaze estimation is one of the most promising technologies for supporting indoor monitoring and interaction systems. However, previous gaze estimation techniques generally work only in a controlled laboratory environment because they require a number of high-resolution eye images. This makes them unsuitable for welfare and healthcare facilities with the following challenging characteristics: 1) users’ continuous movements, 2) various lighting conditions, and 3) a limited amount of available data. To address these issues, we introduce a multi-view multi-modal head-gaze estimation system that translates the user’s head orientation into the gaze direction. The proposed system captures the user using multiple cameras with depth and infrared modalities to train more robust gaze estimators under the aforementioned conditions. To this end, we implemented a deep learning pipeline that can handle different types and combinations of data. The proposed system was evaluated using the data collected from 10 volunteer participants to analyze how the use of single/multiple cameras and modalities affect the performance of head-gaze estimators. Through various experiments, we found that 1) an infrared-modality provides more useful features than a depth-modality, 2) multi-view multi-modal approaches provide better accuracy than single-view single-modal approaches, and 3) the proposed estimators achieve a high inference efficiency that can be used in real-time applications. © 2022 Tech Science Press. All rights reserved.","Deep learning; Head-gaze estimation; Human-computer interaction; Indoor monitoring","Cameras; Deep learning; Modal analysis; Deep learning; Gaze estimation; Head-gaze estimation; Indoor monitoring; Interaction systems; Monitoring system; Multi-modal; Multi-views; Multiple cameras; User interaction; Human computer interaction",Article,"Final","",Scopus,2-s2.0-85117047706
"Karargyris A., Kashyap S., Lourentzou I., Wu J.T., Sharma A., Tong M., Abedin S., Beymer D., Mukherjee V., Krupinski E.A., Moradi M.","26654835300;36350862900;55953611100;57200497494;57201754607;57221148455;57219693679;6602270956;57207271026;26643320200;57208604625;","Creation and validation of a chest X-ray dataset with eye-tracking and report dictation for AI development",2021,"Scientific Data","8","1","92","","",,5,"10.1038/s41597-021-00863-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103416457&doi=10.1038%2fs41597-021-00863-5&partnerID=40&md5=5d655e760bb8c61d6f5706e5df8fff9b","IBM Research, Almaden Research Center, San Jose, CA  95120, United States; Department of Computer Science, Virginia Tech, Blacksburg, VA  24061, United States; Department of Radiology and Imaging Sciences, Emory University, Atlanta, GA  30322, United States","Karargyris, A., IBM Research, Almaden Research Center, San Jose, CA  95120, United States; Kashyap, S., IBM Research, Almaden Research Center, San Jose, CA  95120, United States; Lourentzou, I., IBM Research, Almaden Research Center, San Jose, CA  95120, United States, Department of Computer Science, Virginia Tech, Blacksburg, VA  24061, United States; Wu, J.T., IBM Research, Almaden Research Center, San Jose, CA  95120, United States; Sharma, A., IBM Research, Almaden Research Center, San Jose, CA  95120, United States; Tong, M., IBM Research, Almaden Research Center, San Jose, CA  95120, United States; Abedin, S., IBM Research, Almaden Research Center, San Jose, CA  95120, United States; Beymer, D., IBM Research, Almaden Research Center, San Jose, CA  95120, United States; Mukherjee, V., IBM Research, Almaden Research Center, San Jose, CA  95120, United States; Krupinski, E.A., Department of Radiology and Imaging Sciences, Emory University, Atlanta, GA  30322, United States; Moradi, M., IBM Research, Almaden Research Center, San Jose, CA  95120, United States","We developed a rich dataset of Chest X-Ray (CXR) images to assist investigators in artificial intelligence. The data were collected using an eye-tracking system while a radiologist reviewed and reported on 1,083 CXR images. The dataset contains the following aligned data: CXR image, transcribed radiology report text, radiologist’s dictation audio and eye gaze coordinates data. We hope this dataset can contribute to various areas of research particularly towards explainable and multimodal deep learning/machine learning methods. Furthermore, investigators in disease classification and localization, automated radiology report generation, and human-machine interaction can benefit from these data. We report deep learning experiments that utilize the attention maps produced by the eye gaze dataset to show the potential utility of this dataset. © 2021, The Author(s).",,"diagnostic imaging; human; radiography; thorax; Deep Learning; Humans; Radiography; Thorax",Data Paper,"Final","",Scopus,2-s2.0-85103416457
"Chen S., Zhang Y., Yin B., Wang B.","57257208000;55951477400;8616230700;56768300100;","TRFH: towards real-time face detection and head pose estimation",2021,"Pattern Analysis and Applications","24","4",,"1745","1755",,,"10.1007/s10044-021-01026-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114816789&doi=10.1007%2fs10044-021-01026-3&partnerID=40&md5=350b36780739b0f827e50fca16f52082","Beijing University of Technology, Beijing, China","Chen, S., Beijing University of Technology, Beijing, China; Zhang, Y., Beijing University of Technology, Beijing, China; Yin, B., Beijing University of Technology, Beijing, China; Wang, B., Beijing University of Technology, Beijing, China","Nowadays, face detection and head pose estimation have a lot of application such as face recognition, aiding in gaze estimation and modeling attention. For these two tasks, it is usually to design two different models. However, the head pose estimation model often depends on the region of interest (ROI) detected in advance, which means that a serial face detector is needed. Even the lightest face detector will slow down the whole forward inference time and cannot achieve real-time performance when detecting the head pose of multiple people. We can see that both face detection and head pose estimation need face features, so a shared face feature map can be used between them. In this paper, a multi-task learning model is proposed that can solve both problems simultaneously. We directly detect the location of the center point of the bounding box of face; at this location, we calculate the size of the bounding box of face and the head attitude. We evaluate our model’s performance on the AFLW. The proposed model has great competitiveness with the multi-stage face attribute analysis model, and our model can achieve real-time performance. © 2021, The Author(s).","Anchor Free; Face detection; Head pose; Multi-task",,Article,"Final","",Scopus,2-s2.0-85114816789
"Masud M., Hossain M.S., Alhumyani H., Alshamrani S.S., Cheikhrouhou O., Ibrahim S., Muhammad G., Rashed A.E.E., Gupta B.B.","17338820600;24066717900;55586872500;56825932900;35112771500;55425859100;56605566900;57282828000;34770593700;","Pre-Trained Convolutional Neural Networks for Breast Cancer Detection Using Ultrasound Images",2021,"ACM Transactions on Internet Technology","21","4","3418355","","",,2,"10.1145/3418355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112603216&doi=10.1145%2f3418355&partnerID=40&md5=8a202d3ebd97e8739575276ba7119e7d","Taif University, P. O. Box 11099, Taif, 21944, Saudi Arabia; Research Pervasive and Mobile Computing, And Department of Software Engineering, College of Computer and Information Sciences, Riyadh, 11543, Saudi Arabia; King Saud University, Riyadh, Saudi Arabia; National Institute of Technology and Asia University, Taiwan; Taif University and Cairo University","Masud, M., Taif University, P. O. Box 11099, Taif, 21944, Saudi Arabia; Hossain, M.S., Taif University, P. O. Box 11099, Taif, 21944, Saudi Arabia; Alhumyani, H., Research Pervasive and Mobile Computing, And Department of Software Engineering, College of Computer and Information Sciences, Riyadh, 11543, Saudi Arabia; Alshamrani, S.S., King Saud University, Riyadh, Saudi Arabia; Cheikhrouhou, O., Research Pervasive and Mobile Computing, And Department of Software Engineering, College of Computer and Information Sciences, Riyadh, 11543, Saudi Arabia; Ibrahim, S., National Institute of Technology and Asia University, Taiwan; Muhammad, G., National Institute of Technology and Asia University, Taiwan; Rashed, A.E.E., Taif University and Cairo University; Gupta, B.B., Taif University, P. O. Box 11099, Taif, 21944, Saudi Arabia","Volunteer computing based data processing is a new trend in healthcare applications. Researchers are now leveraging volunteer computing power to train deep learning networks consisting of billions of parameters. Breast cancer is the second most common cause of death in women among cancers. The early detection of cancer may diminish the death risk of patients. Since the diagnosis of breast cancer manually takes lengthy time and there is a scarcity of detection systems, development of an automatic diagnosis system is needed for early detection of cancer. Machine learning models are now widely used for cancer detection and prediction research for improving the successive therapy of patients. Considering this need, this study implements pre-Trained convolutional neural network based models for detecting breast cancer using ultrasound images. In particular, we tuned the pre-Trained models for extracting key features from ultrasound images and included a classifier on the top layer. We measured accuracy of seven popular state-of-The-Art pre-Trained models using different optimizers and hyper-parameters through fivefold cross validation. Moreover, we consider Grad-CAM and occlusion mapping techniques to examine how well the models extract key features from the ultrasound images to detect cancers. We observe that after fine tuning, DenseNet201 and ResNet50 show 100% accuracy with Adam and RMSprop optimizers. VGG16 shows 100% accuracy using the Stochastic Gradient Descent optimizer. We also develop a custom convolutional neural network model with a smaller number of layers compared to large layers in the pre-Trained models. The model also shows 100% accuracy using the Adam optimizer in classifying healthy and breast cancer patients. It is our belief that the model will assist healthcare experts with improved and faster patient screening and pave a way to further breast cancer research. © 2021 Association for Computing Machinery.","breast cancer; convolutional neural network; Deep learning; gaze detection","Convolution; Convolutional neural networks; Data handling; Deep learning; Diagnosis; Gradient methods; Medical imaging; Multilayer neural networks; Optimization; Patient treatment; Stochastic systems; Ultrasonic applications; Breast Cancer; Breast cancer detection; Convolutional neural network; Deep learning; Gaze detection; Health care application; Key feature; Optimizers; Ultrasound images; Volunteer computing; Diseases",Article,"Final","",Scopus,2-s2.0-85112603216
"Ansari M.F., Kasprowski P., Obetkal M.","57221608762;8940684200;57279844500;","Gaze tracking using an unmodified web camera and convolutional neural network",2021,"Applied Sciences (Switzerland)","11","19","9068","","",,,"10.3390/app11199068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116006986&doi=10.3390%2fapp11199068&partnerID=40&md5=18fcbeeec0e7eebe010141c9d3cc9c29","Department of Applied Informatics, Silesian University of Technology, Gliwice, 44-100, Poland","Ansari, M.F., Department of Applied Informatics, Silesian University of Technology, Gliwice, 44-100, Poland; Kasprowski, P., Department of Applied Informatics, Silesian University of Technology, Gliwice, 44-100, Poland; Obetkal, M., Department of Applied Informatics, Silesian University of Technology, Gliwice, 44-100, Poland","Gaze estimation plays a significant role in understating human behavior and in human– computer interaction. Currently, there are many methods accessible for gaze estimation. However, most approaches need additional hardware for data acquisition which adds an extra cost to gaze tracking. The classic gaze tracking approaches usually require systematic prior knowledge or expertise for practical operations. Moreover, they are fundamentally based on the characteristics of the eye region, utilizing infrared light and iris glint to track the gaze point. It requires high-quality images with particular environmental conditions and another light source. Recent studies on appearance-based gaze estimation have demonstrated the capability of neural networks, especially convolutional neural networks (CNN), to decode gaze information present in eye images and achieved significantly simplified gaze estimation. In this paper, a gaze estimation method that utilizes a CNN for gaze estimation that can be applied to various platforms without additional hardware is presented. An easy and fast data collection method is used for collecting face and eyes images from an unmodified desktop camera. The proposed method registered good results; it proves that it is possible to predict the gaze with reasonable accuracy without any additional tools. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Convolutional neural network; Gaze tracking; Human computer interaction",,Article,"Final","",Scopus,2-s2.0-85116006986
"Toyosaka Y., Okita T.","55857955900;57196004948;","Activity Knowledge Graph Recognition by Eye Gaze: Identification of Distant Object in Eye Sight for Watch Activity",2021,"UbiComp/ISWC 2021 - Adjunct Proceedings of the 2021 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2021 ACM International Symposium on Wearable Computers",,,,"334","339",,,"10.1145/3460418.3479351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115984916&doi=10.1145%2f3460418.3479351&partnerID=40&md5=94f23a2fc50ca2a93eeef6f2e0303141","Kyushu Institute of Technology, Iizuka, Fukuoka, Japan","Toyosaka, Y., Kyushu Institute of Technology, Iizuka, Fukuoka, Japan; Okita, T., Kyushu Institute of Technology, Iizuka, Fukuoka, Japan","From the side of upper-level applications which require planning the actions in robot or those which need to search the whole log of activities in smart home, the action predicate expressions in the form of knowledge graphs may play an important role. The sequence of activities alone, which can be supplied by the conventional activity recognition systems, may not be sufficient for those applications. The subject of the particular activity is crucial information in most of the cases, and the object of the particular activity is often necessary to identify the characteristics. From this perspective, we have investigated the activities recognized by activity recognition systems, trying to identify their hidden elements which play the role of the subject and the object of the activities, i.e. activity knowledge graph. If we focus on these hidden elements, they are categorized in two: (1) person (subject)-person (object) interaction, and (2) person (subject)-object (object) interactions. Depending on the class of activities, these two are sometimes faced great difficulties: The hidden elements for walk, pick-up, open, and drink are quite easy but those for look-At, see, watch, and throw are difficult. The source of difficulties arises from the fact that the object (object) is not contacted from the person (subject). In this paper we have developed a method which identifies non-contacted object by the direction of the eye gaze of the person (subject) in the category of watch (activity). Using ""Watching TV""data by Stair lab, the proposed system achieved 85% in accuracy. © 2021 ACM.","action localization; gaze estimation; interaction; object detection","Automation; Object detection; Robot programming; Watches; Action localization; Activity recognition; Eye-gaze; Gaze estimation; Hidden elements; Interaction; Knowledge graphs; Localisation; Object interactions; Recognition systems; Knowledge graph",Conference Paper,"Final","",Scopus,2-s2.0-85115984916
"Moon S., Zhang C., Park S., Zhang H., Kim W.-S., Ko J.H.","57277193900;57193807497;57277843000;57216240708;55492044000;56921245400;","A Sub-Milliwatt and Sub-Millisecond 3-D Gaze Estimator for Ultra Low-Power AR Applications",2021,"UbiComp/ISWC 2021 - Adjunct Proceedings of the 2021 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2021 ACM International Symposium on Wearable Computers",,,,"481","485",,,"10.1145/3460418.3479360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115950725&doi=10.1145%2f3460418.3479360&partnerID=40&md5=ac898f026459de09d3608817f5b2c9bd","Department of Electrical and Computer Engineering, Sungkyunkwan University, Suwon, South Korea; Sait China Lab, Samsung Research, China-Beijing (SRC-B), Beijing, China; Samsung Advanced Institute of Technology (SAIT), Suwon, South Korea; College of Information and Communication Engineering, Sungkyunkwan University, Suwon, South Korea","Moon, S., Department of Electrical and Computer Engineering, Sungkyunkwan University, Suwon, South Korea; Zhang, C., Sait China Lab, Samsung Research, China-Beijing (SRC-B), Beijing, China; Park, S., Department of Electrical and Computer Engineering, Sungkyunkwan University, Suwon, South Korea; Zhang, H., Sait China Lab, Samsung Research, China-Beijing (SRC-B), Beijing, China; Kim, W.-S., Samsung Advanced Institute of Technology (SAIT), Suwon, South Korea; Ko, J.H., College of Information and Communication Engineering, Sungkyunkwan University, Suwon, South Korea","The critical factors of real-Time gaze tracking are high accuracy and user-friendliness such as low latency and no run-Time calibration. Existing gaze estimator hardware designs are based on 2D regression algorithms as 2D methods have a simple computation process. However, they require multiple run-Time calibration steps, and are vulnerable to head motions. On the other hand, the 3D model-based method can maintain better accuracy than the 2D method without run-Time calibration steps, and is robust to head motions. In this paper, we aim to design the first 3D model-based gaze estimator hardware that consumes less than 1mW power and 1ms latency per frame. The simulation results based on the hardware synthesis show that the proposed design requires 172μW and 0.5ms per frame, while maintaining less than 0.9° error. © 2021 ACM.","Gaze Tracker;Gaze Vector Estimation;Smart Glasses;ASIC","3D modeling; Application specific integrated circuits; Eye tracking; Integrated circuit design; 3D models; 3d-modeling; Gaze tracker; Gaze tracker;; Gaze vector estimation;; Head motion; Runtimes; Smart glass; Smart glass;; Vector estimation; Calibration",Conference Paper,"Final","",Scopus,2-s2.0-85115950725
"Araluce J., Bergasa L.M., Ocaña M., López-Guillén E., Revenga P.A., Felipe Arango J., Pérez O.","57204909678;6602297767;56410080500;57204784175;12790320200;57262405500;57215137907;","Gaze focalization system for driving applications using openface 2.0 toolkit with NARMAX algorithm in accidental scenarios",2021,"Sensors","21","18","6262","","",,,"10.3390/s21186262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115051391&doi=10.3390%2fs21186262&partnerID=40&md5=9e690bf7336c0b2a0ae9ed5d6a403f08","Electronics Department, University of Alcalá, Alcalá de Henares, 28801, Spain","Araluce, J., Electronics Department, University of Alcalá, Alcalá de Henares, 28801, Spain; Bergasa, L.M., Electronics Department, University of Alcalá, Alcalá de Henares, 28801, Spain; Ocaña, M., Electronics Department, University of Alcalá, Alcalá de Henares, 28801, Spain; López-Guillén, E., Electronics Department, University of Alcalá, Alcalá de Henares, 28801, Spain; Revenga, P.A., Electronics Department, University of Alcalá, Alcalá de Henares, 28801, Spain; Felipe Arango, J., Electronics Department, University of Alcalá, Alcalá de Henares, 28801, Spain; Pérez, O., Electronics Department, University of Alcalá, Alcalá de Henares, 28801, Spain","Monitoring driver attention using the gaze estimation is a typical approach used on road scenes. This indicator is of great importance for safe driving, specially on Level 3 and Level 4 automation systems, where the take over request control strategy could be based on the driver’s gaze estimation. Nowadays, gaze estimation techniques used in the state-of-the-art are intrusive and costly, and these two aspects are limiting the usage of these techniques on real vehicles. To test this kind of application, there are some databases focused on critical situations in simulation, but they do not show real accidents because of the complexity and the danger to record them. Within this context, this paper presents a low-cost and non-intrusive camera-based gaze mapping system integrating the open-source state-of-the-art OpenFace 2.0 Toolkit to visualize the driver focalization on a database composed of recorded real traffic scenes through a heat map using NARMAX (Nonlinear AutoRegressive Moving Average model with eXogenous inputs) to establish the correspondence between the OpenFace 2.0 parameters and the screen region the user is looking at. This proposal is an improvement of our previous work, which was based on a linear approximation using a projection matrix. The proposal has been validated using the recent and challenging public database DADA2000, which has 2000 video sequences with annotated driving scenarios based on real accidents. We compare our proposal with our previous one and with an expensive desktop-mounted eye-tracker, obtaining on par results. We proved that this method can be used to record driver attention databases. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Accidental scenarios; Computer vision; Driver focalization; Gaze estimation; Heat map; NARMAX","Accidents; Automation; Automobile testing; Behavioral research; Database systems; Open systems; Automation systems; Control strategies; Driver attention; Linear approximations; Nonlinear autoregressive moving average models; Projection matrix; Public database; State of the art; Eye tracking",Article,"Final","",Scopus,2-s2.0-85115051391
"Das S., Ghosh I.D., Chattopadhyay A.","55605761984;12760477800;57225350566;","An efficient deep sclera recognition framework with novel sclera segmentation, vessel extraction and gaze detection",2021,"Signal Processing: Image Communication","97",,"116349","","",,,"10.1016/j.image.2021.116349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107796193&doi=10.1016%2fj.image.2021.116349&partnerID=40&md5=ce85c8ae9ded790974e692ea5f30a428","University of Engineering and Management Newtown, Kolkata, West Bengal  700156, India; Barrackpore Rastraguru Surendranath College Barrackpore, Kolkata, West Bengal  700120, India","Das, S., University of Engineering and Management Newtown, Kolkata, West Bengal  700156, India; Ghosh, I.D., Barrackpore Rastraguru Surendranath College Barrackpore, Kolkata, West Bengal  700120, India; Chattopadhyay, A., University of Engineering and Management Newtown, Kolkata, West Bengal  700156, India","Sclera recognition is a promising ocular biometric modality because of contact-less, gaze-independent image acquisition in visible light. Moreover, it is unaffected even if the subjects are wearing contact lenses in eyes. However, it is a difficult task because several steps are required, each of which must be performed accurately and efficiently. In this work, sclera recognition is performed in the following steps, namely, segmentation of sclera region, extraction of sclera vasculature pattern, detection of gaze direction and finally comparison of two vasculature patterns for matching and recognition. The proposed segmentation model DSeg is based on well-known deep learning model UNet and reduces model complexity by creating a Knowledge Base of sclera and non-sclera colors. DSeg is a lightweight and environment-friendly model, which outperforms UNet in terms of speed, efficiency and accuracy. Two rule-based unsupervised vessel extraction methods require prior sclera segmentation and exhibit competing recognition performance to a supervised deep model for vessel extraction, which does not require prior sclera segmentation. A novel deep recognition model is proposed which compares two vessel structures taking into account their affine-transformation, and produces a single Boolean output to decide whether the structures match or not. The model does not require post logic in the matching process. The model is further improved to detect errors in prediction. We achieve best recognition rates with low false-acceptance-rates for two sets of training and validation, using the publicly available dataset SBVPI and the best achieved AUC score is 0.98. © 2021 Elsevier B.V.","DeepR; Gaze detection; Sclera biometric; Sclera recognition; Sclera segmentation; Vasculature segmentation","Deep learning; Extraction; Knowledge based systems; Affine transformations; Environment friendly; False acceptance rate; Matching process; Recognition models; Segmentation models; Vessel extraction; Vessel structure; Pattern recognition",Article,"Final","",Scopus,2-s2.0-85107796193
"Kobayashi K., Komuro T., Kagawa K., Kawahito S.","57199997893;7005736117;7101606653;7005154064;","Transmission of correct gaze direction in video conferencing using screen-embedded cameras",2021,"Multimedia Tools and Applications","80","21-23",,"31509","31526",,,"10.1007/s11042-020-09758-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091144236&doi=10.1007%2fs11042-020-09758-w&partnerID=40&md5=145227c45b3ea2cfe8e5fcf42b538044","Saitama University, Shimo-okubo 255, Sakura-ku, Saitama, Japan; Shizuoka University, Johoku 3-5-1, Naka-ku, Hamamatsu, Japan","Kobayashi, K., Saitama University, Shimo-okubo 255, Sakura-ku, Saitama, Japan; Komuro, T., Saitama University, Shimo-okubo 255, Sakura-ku, Saitama, Japan; Kagawa, K., Shizuoka University, Johoku 3-5-1, Naka-ku, Hamamatsu, Japan; Kawahito, S., Shizuoka University, Johoku 3-5-1, Naka-ku, Hamamatsu, Japan","In this paper, we propose a new video conferencing system that presents correct gaze directions of a remote user by switching among images obtained from multiple cameras embedded in a screen according to a local user’s position. Our proposed method reproduces a situation like that in which the remote user is in the same space as the local user. The position of the remote user to be displayed on the screen is determined so that the positional relationship between the users is reproduced. The system selects one of the embedded cameras whose viewing direction towards the remote user is the closest to the local user’s viewing direction to the remote user’s image on the screen. As a result of quantitative evaluation, we confirmed that, in comparison with the case using a single camera, the accuracy of gaze estimation was improved by switching among the cameras according to the position of the local user. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","Camera selection; Gaze preservation; Teleconferencing","Cameras; Transmissions; Gaze direction; Gaze estimation; Multiple cameras; Positional relationship; Quantitative evaluation; Single cameras; Video conferencing system; Viewing directions; Video conferencing",Article,"Final","",Scopus,2-s2.0-85091144236
